# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0xcb787bf7 0x4c1c74bc850ab5
 0x1 0 0x309 0x1dd82ff5 0x4c1c74bc85125d
 0x2 0 0x309 0x1766e87e 0x4c1c74bc884c09
 0x3 0 0x309 0x116bdf3 0x4c1c74bc884c40
 0x4 0 0x309 0x44d4d072 0x4c1c74bc884479
 0x5 0 0x309 0x10ed2cc 0x4c1c74bc88448a
 0x6 0 0x309 0x349b6806 0x4c1c74bc851be9
 0x7 0 0x309 0x49afde 0x4c1c74bc851d44
 0x8 0 0x309 0xb5f7288 0x4c1c74bc884a6f
 0x9 0 0x309 0x25cfbb 0x4c1c74bc884aa0
 0xa 0 0x309 0x2dc170c9 0x4c1c74bc8847dd
 0xb 0 0x309 0x1d2903 0x4c1c74bc88479a
 0xc 0 0x309 0x93e18e25f 0x4c1c74bc8515ee
 0xd 0 0x309 0x3e40d03 0x4c1c74bc86d236
 0xe 0 0x309 0x10ca182456 0x4c1c74bc851615
 0xf 0 0x309 0x400b30a 0x4c1c74bc86e0f2
 0 0 0x30a 0x17fab0326 0x4c1c74bc850b86
 0x1 0 0x30a 0x20bb4ac7 0x4c1c74bc851300
 0x2 0 0x30a 0x9cd48f61 0x4c1c74bc884d85
 0x3 0 0x30a 0x514191f 0x4c1c74bc884d48
 0x4 0 0x30a 0x15ceaf842 0x4c1c74bc88463e
 0x5 0 0x30a 0x21df9ec 0x4c1c74bc88464f
 0x6 0 0x30a 0x18ca531d3 0x4c1c74bc851cbc
 0x7 0 0x30a 0x14652b8 0x4c1c74bc851e18
 0x8 0 0x30a 0x4f0373e4 0x4c1c74bc884bb8
 0x9 0 0x30a 0x7afea9 0x4c1c74bc884c0d
 0xa 0 0x30a 0xad0c2ee1 0x4c1c74bc8848b6
 0xb 0 0x30a 0x6cfb98 0x4c1c74bc8848a6
 0xc 0 0x30a 0xcf7047f81e 0x4c1c74bc851762
 0xd 0 0x30a 0xbca257d 0x4c1c74bc86d2ed
 0xe 0 0x30a 0xd17fc221d4 0x4c1c74bc851733
 0xf 0 0x30a 0x82d5fe8 0x4c1c74bc86e207
 0 0 0x30b 0x44c0d2ae1 0x4c1c74bc850c2b
 0x1 0 0x30b 0x2c9df900 0x4c1c74bc85138e
 0x2 0 0x30b 0x840632e8 0x4c1c74bc884e3c
 0x3 0 0x30b 0x75c76a3 0x4c1c74bc884dff
 0x4 0 0x30b 0x1102d63f9 0x4c1c74bc884747
 0x5 0 0x30b 0x2bab2cc 0x4c1c74bc884740
 0x6 0 0x30b 0x18b91fdb6 0x4c1c74bc851d81
 0x7 0 0x30b 0x26ab132 0x4c1c74bc851f01
 0x8 0 0x30b 0x4a87e2e6 0x4c1c74bc884c7b
 0x9 0 0x30b 0x14cdbf4 0x4c1c74bc884cc8
 0xa 0 0x30b 0x9863fd79 0x4c1c74bc88499c
 0xb 0 0x30b 0x14c035f 0x4c1c74bc884996
 0xc 0 0x30b 0xba81bd3201 0x4c1c74bc8518c6
 0xd 0 0x30b 0xb045401 0x4c1c74bc86d3f5
 0xe 0 0x30b 0xbf38f32107 0x4c1c74bc851895
 0xf 0 0x30b 0x98d8926 0x4c1c74bc86e380
