# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4c1b1805eb1a47
 0x1 0 0x38f 0 0x4c1b1805eb3843
 0x2 0 0x38f 0 0x4c1b1805eed265
 0x3 0 0x38f 0 0x4c1b1805eed159
 0x4 0 0x38f 0 0x4c1b1805eed92c
 0x5 0 0x38f 0 0x4c1b1805eed6f7
 0x6 0 0x38f 0 0x4c1b1805ee1b4c
 0x7 0 0x38f 0 0x4c1b1805ee1c71
 0x8 0 0x38f 0 0x4c1b1805eed2bf
 0x9 0 0x38f 0 0x4c1b1805eed614
 0xa 0 0x38f 0 0x4c1b1805eedeae
 0xb 0 0x38f 0 0x4c1b1805eedc44
 0xc 0 0x38f 0 0x4c1b1805eebaa7
 0xd 0 0x38f 0 0x4c1b1805eebbee
 0xe 0 0x38f 0 0x4c1b1805eb4856
 0xf 0 0x38f 0 0x4c1b1805eec19e
 0 0 0x309 0 0x4c1b1805eb1dcd
 0x1 0 0x309 0 0x4c1b1805eb3aad
 0x2 0 0x309 0 0x4c1b1805eede38
 0x3 0 0x309 0 0x4c1b1805eedca6
 0x4 0 0x309 0 0x4c1b1805eee0b1
 0x5 0 0x309 0 0x4c1b1805eee0ff
 0x6 0 0x309 0 0x4c1b1805ee1cdc
 0x7 0 0x309 0 0x4c1b1805ee1e25
 0x8 0 0x309 0 0x4c1b1805eeddeb
 0x9 0 0x309 0 0x4c1b1805eedf44
 0xa 0 0x309 0 0x4c1b1805eee7ad
 0xb 0 0x309 0 0x4c1b1805eee760
 0xc 0 0x309 0 0x4c1b1805eebbd3
 0xd 0 0x309 0 0x4c1b1805eebd78
 0xe 0 0x309 0 0x4c1b1805eb4c14
 0xf 0 0x309 0 0x4c1b1805eec302
 0 0 0x30a 0 0x4c1b1805eb2012
 0x1 0 0x30a 0 0x4c1b1805eb3ca5
 0x2 0 0x30a 0 0x4c1b1805eee5bd
 0x3 0 0x30a 0 0x4c1b1805eee72f
 0x4 0 0x30a 0 0x4c1b1805eee9e2
 0x5 0 0x30a 0 0x4c1b1805eee813
 0x6 0 0x30a 0 0x4c1b1805ee2013
 0x7 0 0x30a 0 0x4c1b1805ee20b5
 0x8 0 0x30a 0 0x4c1b1805eee558
 0x9 0 0x30a 0 0x4c1b1805eee8de
 0xa 0 0x30a 0 0x4c1b1805eeef9c
 0xb 0 0x30a 0 0x4c1b1805eeee1e
 0xc 0 0x30a 0 0x4c1b1805eebcee
 0xd 0 0x30a 0 0x4c1b1805eebf08
 0xe 0 0x30a 0 0x4c1b1805eb4f76
 0xf 0 0x30a 0 0x4c1b1805eec49e
 0 0 0x30b 0 0x4c1b1805eb21c1
 0x1 0 0x30b 0 0x4c1b1805eb3e3f
 0x2 0 0x30b 0 0x4c1b1805eeec64
 0x3 0 0x30b 0 0x4c1b1805eeedf2
 0x4 0 0x30b 0 0x4c1b1805eef094
 0x5 0 0x30b 0 0x4c1b1805eeee74
 0x6 0 0x30b 0 0x4c1b1805ee21e4
 0x7 0 0x30b 0 0x4c1b1805ee2225
 0x8 0 0x30b 0 0x4c1b1805eeec0a
 0x9 0 0x30b 0 0x4c1b1805eef0d9
 0xa 0 0x30b 0 0x4c1b1805eef72e
 0xb 0 0x30b 0 0x4c1b1805eef4f9
 0xc 0 0x30b 0 0x4c1b1805eebe8e
 0xd 0 0x30b 0 0x4c1b1805eec032
 0xe 0 0x30b 0 0x4c1b1805eb5351
 0xf 0 0x30b 0 0x4c1b1805eec5ca
 0 0 0x38d 0x333 0x4c1b1805eb2394
 0x1 0 0x38d 0x333 0x4c1b1805eb3fdb
 0x2 0 0x38d 0x333 0x4c1b1805eef332
 0x3 0 0x38d 0x333 0x4c1b1805eef694
 0x4 0 0x38d 0x333 0x4c1b1805eefa26
 0x5 0 0x38d 0x333 0x4c1b1805eef742
 0x6 0 0x38d 0x333 0x4c1b1805ee23f4
 0x7 0 0x38d 0x333 0x4c1b1805ee240c
 0x8 0 0x38d 0x333 0x4c1b1805eef1ed
 0x9 0 0x38d 0x333 0x4c1b1805eefabc
 0xa 0 0x38d 0x333 0x4c1b1805eefe2a
 0xb 0 0x38d 0x333 0x4c1b1805eefa7b
 0xc 0 0x38d 0x333 0x4c1b1805eebfdd
 0xd 0 0x38d 0x333 0x4c1b1805eec165
 0xe 0 0x38d 0x333 0x4c1b1805eb571c
 0xf 0 0x38d 0x333 0x4c1b1805eec6e3
