# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0 0x4c1c74bc80f7af
 0x1 0 0x38f 0 0x4c1c74bc81348b
 0x2 0 0x38f 0 0x4c1c74bc83f4bc
 0x3 0 0x38f 0 0x4c1c74bc83f516
 0x4 0 0x38f 0 0x4c1c74bc83f757
 0x5 0 0x38f 0 0x4c1c74bc83fa6b
 0x6 0 0x38f 0 0x4c1c74bc84e2c4
 0x7 0 0x38f 0 0x4c1c74bc84e346
 0x8 0 0x38f 0 0x4c1c74bc83f87f
 0x9 0 0x38f 0 0x4c1c74bc83f9d5
 0xa 0 0x38f 0 0x4c1c74bc83fc0d
 0xb 0 0x38f 0 0x4c1c74bc83fce1
 0xc 0 0x38f 0 0x4c1c74bc8105f5
 0xd 0 0x38f 0 0x4c1c74bc8351b5
 0xe 0 0x38f 0 0x4c1c74bc81062f
 0xf 0 0x38f 0 0x4c1c74bc836253
