# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4c1c7d742a1f2c
 0x1 0 0x38f 0 0x4c1c7d742a2997
 0x2 0 0x38f 0 0x4c1c7d742ca0df
 0x3 0 0x38f 0 0x4c1c7d742ca171
 0x4 0 0x38f 0 0x4c1c7d742ca451
 0x5 0 0x38f 0 0x4c1c7d742ca4a6
 0x6 0 0x38f 0 0x4c1c7d742ca8f7
 0x7 0 0x38f 0 0x4c1c7d742ca903
 0x8 0 0x38f 0 0x4c1c7d742ca469
 0x9 0 0x38f 0 0x4c1c7d742ca834
 0xa 0 0x38f 0 0x4c1c7d742ca9b2
 0xb 0 0x38f 0 0x4c1c7d742cac89
 0xc 0 0x38f 0 0x4c1c7d742a3126
 0xd 0 0x38f 0 0x4c1c7d742bfcc4
 0xe 0 0x38f 0 0x4c1c7d742c0b1c
 0xf 0 0x38f 0 0x4c1c7d742c1c79
 0 0 0x309 0 0x4c1c7d742a2181
 0x1 0 0x309 0 0x4c1c7d742a2b6e
 0x2 0 0x309 0 0x4c1c7d742cadce
 0x3 0 0x309 0 0x4c1c7d742cae8d
 0x4 0 0x309 0 0x4c1c7d742cb164
 0x5 0 0x309 0 0x4c1c7d742cb491
 0x6 0 0x309 0 0x4c1c7d742cb468
 0x7 0 0x309 0 0x4c1c7d742cb6c1
 0x8 0 0x309 0 0x4c1c7d742cb427
 0x9 0 0x309 0 0x4c1c7d742cb691
 0xa 0 0x309 0 0x4c1c7d742cb617
 0xb 0 0x309 0 0x4c1c7d742cb5ce
 0xc 0 0x309 0 0x4c1c7d742a32f5
 0xd 0 0x309 0 0x4c1c7d742bfdb3
 0xe 0 0x309 0 0x4c1c7d742c0c67
 0xf 0 0x309 0 0x4c1c7d742c1dd6
 0 0 0x30a 0 0x4c1c7d742a2301
 0x1 0 0x30a 0 0x4c1c7d742a2cb5
 0x2 0 0x30a 0 0x4c1c7d742cb7d1
 0x3 0 0x30a 0 0x4c1c7d742cb52b
 0x4 0 0x30a 0 0x4c1c7d742cb874
 0x5 0 0x30a 0 0x4c1c7d742cbe78
 0x6 0 0x30a 0 0x4c1c7d742cbd8c
 0x7 0 0x30a 0 0x4c1c7d742cbfb5
 0x8 0 0x30a 0 0x4c1c7d742cbba5
 0x9 0 0x30a 0 0x4c1c7d742cbf0e
 0xa 0 0x30a 0 0x4c1c7d742cbfe9
 0xb 0 0x30a 0 0x4c1c7d742cc053
 0xc 0 0x30a 0 0x4c1c7d742a33c8
 0xd 0 0x30a 0 0x4c1c7d742bff33
 0xe 0 0x30a 0 0x4c1c7d742c0dbf
 0xf 0 0x30a 0 0x4c1c7d742c1f2b
 0 0 0x30b 0 0x4c1c7d742a246e
 0x1 0 0x30b 0 0x4c1c7d742a2df4
 0x2 0 0x30b 0 0x4c1c7d742cbf7c
 0x3 0 0x30b 0 0x4c1c7d742cbbb9
 0x4 0 0x30b 0 0x4c1c7d742cbf33
 0x5 0 0x30b 0 0x4c1c7d742cc873
 0x6 0 0x30b 0 0x4c1c7d742cc6b0
 0x7 0 0x30b 0 0x4c1c7d742cc8c8
 0x8 0 0x30b 0 0x4c1c7d742cc467
 0x9 0 0x30b 0 0x4c1c7d742cc7a8
 0xa 0 0x30b 0 0x4c1c7d742ccc19
 0xb 0 0x30b 0 0x4c1c7d742ccc56
 0xc 0 0x30b 0 0x4c1c7d742a366e
 0xd 0 0x30b 0 0x4c1c7d742bfffa
 0xe 0 0x30b 0 0x4c1c7d742c0ef5
 0xf 0 0x30b 0 0x4c1c7d742c205e
 0 0 0x38d 0x333 0x4c1c7d742a25d2
 0x1 0 0x38d 0x333 0x4c1c7d742a2f92
 0x2 0 0x38d 0x333 0x4c1c7d742cca42
 0x3 0 0x38d 0x333 0x4c1c7d742cc683
 0x4 0 0x38d 0x333 0x4c1c7d742cc94a
 0x5 0 0x38d 0x333 0x4c1c7d742cd1a7
 0x6 0 0x38d 0x333 0x4c1c7d742ccd09
 0x7 0 0x38d 0x333 0x4c1c7d742cd1ec
 0x8 0 0x38d 0x333 0x4c1c7d742ccb52
 0x9 0 0x38d 0x333 0x4c1c7d742cd1c4
 0xa 0 0x38d 0x333 0x4c1c7d742cd38b
 0xb 0 0x38d 0x333 0x4c1c7d742cd287
 0xc 0 0x38d 0x333 0x4c1c7d742a381d
 0xd 0 0x38d 0x333 0x4c1c7d742c015c
 0xe 0 0x38d 0x333 0x4c1c7d742c1026
 0xf 0 0x38d 0x333 0x4c1c7d742c2185
