# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0 0x4c1dda35044482
 0x1 0 0x38f 0 0x4c1dda3504903c
 0x2 0 0x38f 0 0x4c1dda35055fbe
 0x3 0 0x38f 0 0x4c1dda3505865e
 0x4 0 0x38f 0 0x4c1dda3506a054
 0x5 0 0x38f 0 0x4c1dda3506a007
 0x6 0 0x38f 0 0x4c1dda35068a15
 0x7 0 0x38f 0 0x4c1dda35068a92
 0x8 0 0x38f 0 0x4c1dda35069ab6
 0x9 0 0x38f 0 0x4c1dda35069adf
 0xa 0 0x38f 0 0x4c1dda3506a1c6
 0xb 0 0x38f 0 0x4c1dda3506a21b
 0xc 0 0x38f 0 0x4c1dda3506ae0b
 0xd 0 0x38f 0 0x4c1dda3506c5ac
 0xe 0 0x38f 0 0x4c1dda350476b1
 0xf 0 0x38f 0 0x4c1dda3506dd45
