# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4c2094b6634913
 0x1 0 0x38f 0 0x4c2094b66359e4
 0x2 0 0x38f 0 0x4c2094b665c5a5
 0x3 0 0x38f 0 0x4c2094b665c4d1
 0x4 0 0x38f 0 0x4c2094b665c85f
 0x5 0 0x38f 0 0x4c2094b665c780
 0x6 0 0x38f 0 0x4c2094b665c9c9
 0x7 0 0x38f 0 0x4c2094b665ca57
 0x8 0 0x38f 0 0x4c2094b665cc9c
 0x9 0 0x38f 0 0x4c2094b665cf32
 0xa 0 0x38f 0 0x4c2094b665c870
 0xb 0 0x38f 0 0x4c2094b665c49c
 0xc 0 0x38f 0 0x4c2094b6652c02
 0xd 0 0x38f 0 0x4c2094b6635855
 0xe 0 0x38f 0 0x4c2094b6653de3
 0xf 0 0x38f 0 0x4c2094b66550f0
 0 0 0x309 0 0x4c2094b6634ab8
 0x1 0 0x309 0 0x4c2094b6635b88
 0x2 0 0x309 0 0x4c2094b665ce63
 0x3 0 0x309 0 0x4c2094b665cd73
 0x4 0 0x309 0 0x4c2094b665d3ed
 0x5 0 0x309 0 0x4c2094b665d167
 0x6 0 0x309 0 0x4c2094b665d1d5
 0x7 0 0x309 0 0x4c2094b665d26f
 0x8 0 0x309 0 0x4c2094b665d69b
 0x9 0 0x309 0 0x4c2094b665d809
 0xa 0 0x309 0 0x4c2094b665d732
 0xb 0 0x309 0 0x4c2094b665d45f
 0xc 0 0x309 0 0x4c2094b6652cf6
 0xd 0 0x309 0 0x4c2094b66359d8
 0xe 0 0x309 0 0x4c2094b6653f55
 0xf 0 0x309 0 0x4c2094b665526c
 0 0 0x30a 0 0x4c2094b6634c44
 0x1 0 0x30a 0 0x4c2094b6635cf6
 0x2 0 0x30a 0 0x4c2094b665d8ec
 0x3 0 0x30a 0 0x4c2094b665d76b
 0x4 0 0x30a 0 0x4c2094b665dbbc
 0x5 0 0x30a 0 0x4c2094b665d9b4
 0x6 0 0x30a 0 0x4c2094b665db87
 0x7 0 0x30a 0 0x4c2094b665dc66
 0x8 0 0x30a 0 0x4c2094b665df25
 0x9 0 0x30a 0 0x4c2094b665e11d
 0xa 0 0x30a 0 0x4c2094b665e06e
 0xb 0 0x30a 0 0x4c2094b665dd1d
 0xc 0 0x30a 0 0x4c2094b6652dd8
 0xd 0 0x30a 0 0x4c2094b6635ad2
 0xe 0 0x30a 0 0x4c2094b66540ae
 0xf 0 0x30a 0 0x4c2094b665541a
 0 0 0x30b 0 0x4c2094b6634d52
 0x1 0 0x30b 0 0x4c2094b6635e74
 0x2 0 0x30b 0 0x4c2094b665e0e0
 0x3 0 0x30b 0 0x4c2094b665e3cb
 0x4 0 0x30b 0 0x4c2094b665e6e3
 0x5 0 0x30b 0 0x4c2094b665e41d
 0x6 0 0x30b 0 0x4c2094b665e341
 0x7 0 0x30b 0 0x4c2094b665e708
 0x8 0 0x30b 0 0x4c2094b665e71c
 0x9 0 0x30b 0 0x4c2094b665e82d
 0xa 0 0x30b 0 0x4c2094b665e7b3
 0xb 0 0x30b 0 0x4c2094b665ea65
 0xc 0 0x30b 0 0x4c2094b6652f23
 0xd 0 0x30b 0 0x4c2094b6635ce9
 0xe 0 0x30b 0 0x4c2094b66541d4
 0xf 0 0x30b 0 0x4c2094b66555cf
 0 0 0x38d 0x333 0x4c2094b6634e5a
 0x1 0 0x38d 0x333 0x4c2094b663603b
 0x2 0 0x38d 0x333 0x4c2094b665e8f0
 0x3 0 0x38d 0x333 0x4c2094b665ee18
 0x4 0 0x38d 0x333 0x4c2094b665f228
 0x5 0 0x38d 0x333 0x4c2094b665ec9a
 0x6 0 0x38d 0x333 0x4c2094b665ebd7
 0x7 0 0x38d 0x333 0x4c2094b665edf3
 0x8 0 0x38d 0x333 0x4c2094b665ef59
 0x9 0 0x38d 0x333 0x4c2094b665ee8e
 0xa 0 0x38d 0x333 0x4c2094b665f2b6
 0xb 0 0x38d 0x333 0x4c2094b665f379
 0xc 0 0x38d 0x333 0x4c2094b6653017
 0xd 0 0x38d 0x333 0x4c2094b6635dda
 0xe 0 0x38d 0x333 0x4c2094b6654328
 0xf 0 0x38d 0x333 0x4c2094b665575f
