# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4c2094b6667a93
 0x1 0 0x38f 0x700000000 0x4c2094b666813f
 0x2 0 0x38f 0x700000000 0x4c2094b666a193
 0x3 0 0x38f 0x700000000 0x4c2094b666a486
 0x4 0 0x38f 0x700000000 0x4c2094b666b055
 0x5 0 0x38f 0x700000000 0x4c2094b666b89d
 0x6 0 0x38f 0x700000000 0x4c2094b666bc0b
 0x7 0 0x38f 0x700000000 0x4c2094b666b40b
 0x8 0 0x38f 0x700000000 0x4c2094b6673f48
 0x9 0 0x38f 0x700000000 0x4c2094b666bbae
 0xa 0 0x38f 0x700000000 0x4c2094b666bbca
 0xb 0 0x38f 0x700000000 0x4c2094b666b440
 0xc 0 0x38f 0x700000000 0x4c2094b669520d
 0xd 0 0x38f 0x700000000 0x4c2094b66684e7
 0xe 0 0x38f 0x700000000 0x4c2094b669619b
 0xf 0 0x38f 0x700000000 0x4c2094b66970a8
