# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0 0x4c21f17783c199
 0x1 0 0x38f 0 0x4c21f1778402ea
 0x2 0 0x38f 0 0x4c21f177875537
 0x3 0 0x38f 0 0x4c21f177875698
 0x4 0 0x38f 0 0x4c21f1778753fe
 0x5 0 0x38f 0 0x4c21f1778751cd
 0x6 0 0x38f 0 0x4c21f177874d0f
 0x7 0 0x38f 0 0x4c21f177874f78
 0x8 0 0x38f 0 0x4c21f17787573f
 0x9 0 0x38f 0 0x4c21f1778756c9
 0xa 0 0x38f 0 0x4c21f1778761b8
 0xb 0 0x38f 0 0x4c21f177875763
 0xc 0 0x38f 0 0x4c21f17787923c
 0xd 0 0x38f 0 0x4c21f177879079
 0xe 0 0x38f 0 0x4c21f177879085
 0xf 0 0x38f 0 0x4c21f177879740
