# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4cd933865b5d89
 0x1 0 0x38f 0x700000000 0x4cd933865b6543
 0x2 0 0x38f 0x700000000 0x4cd933865e8758
 0x3 0 0x38f 0x700000000 0x4cd933865e87be
 0x4 0 0x38f 0x700000000 0x4cd933865e85b4
 0x5 0 0x38f 0x700000000 0x4cd933865e8562
 0x6 0 0x38f 0x700000000 0x4cd933865e870d
 0x7 0 0x38f 0x700000000 0x4cd933865e8736
 0x8 0 0x38f 0x700000000 0x4cd933865bff17
 0x9 0 0x38f 0x700000000 0x4cd933865b91f5
 0xa 0 0x38f 0x700000000 0x4cd933865ba5f8
 0xb 0 0x38f 0x700000000 0x4cd933865ba6cb
 0xc 0 0x38f 0x700000000 0x4cd933865e9a52
 0xd 0 0x38f 0x700000000 0x4cd933865ea8d5
 0xe 0 0x38f 0x700000000 0x4cd933865b7ea6
 0xf 0 0x38f 0x700000000 0x4cd933865b8cf1
