# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0x15b18fac 0x4cdd544cf42b84
 0x1 0 0x309 0xab64f3a 0x4cdd544cf45189
 0x2 0 0x309 0x28a9031c 0x4cdd544cf4a5e6
 0x3 0 0x309 0x15160ce 0x4cdd544cf4a653
 0x4 0 0x309 0x18a91afc 0x4cdd544cf49350
 0x5 0 0x309 0x134b437 0x4cdd544cf4939e
 0x6 0 0x309 0xfcc6ff5 0x4cdd544cf4a5d1
 0x7 0 0x309 0x15b82c6 0x4cdd544cf4a71a
 0x8 0 0x309 0x63c605f 0x4cdd544cf4b04f
 0x9 0 0x309 0x8f3469 0x4cdd544cf4b077
 0xa 0 0x309 0xf337b36 0x4cdd544cf4b501
 0xb 0 0x309 0x145f5952 0x4cdd544cf4b563
 0xc 0 0x309 0xb457e8f 0x4cdd544cf6cd42
 0xd 0 0x309 0x6c113aa 0x4cdd544cf6d4a7
 0xe 0 0x309 0x19fd4bc8 0x4cdd544cf44ff4
 0xf 0 0x309 0xa7f043 0x4cdd544cf4662a
 0 0 0x30a 0xc258be0f 0x4cdd544cf4302e
 0x1 0 0x30a 0x1ac65ec7 0x4cdd544cf45923
 0x2 0 0x30a 0x5f923b51 0x4cdd544cf4ab22
 0x3 0 0x30a 0x1d17e64 0x4cdd544cf4af8c
 0x4 0 0x30a 0xc1cc531b 0x4cdd544cf49970
 0x5 0 0x30a 0x3846535 0x4cdd544cf499d2
 0x6 0 0x30a 0x8a315364 0x4cdd544cf4b0b0
 0x7 0 0x30a 0x12313d4 0x4cdd544cf4b47f
 0x8 0 0x30a 0x20b8f768 0x4cdd544cf4bd83
 0x9 0 0x30a 0xb2483e 0x4cdd544cf4bc93
 0xa 0 0x30a 0x2ef7d1fb 0x4cdd544cf4bd5a
 0xb 0 0x30a 0x142151aa 0x4cdd544cf4bc11
 0xc 0 0x30a 0x1f21bcfd 0x4cdd544cf6d21d
 0xd 0 0x30a 0x143b6b8a 0x4cdd544cf6da13
 0xe 0 0x30a 0xd24ffa2b 0x4cdd544cf455a9
 0xf 0 0x30a 0x1e28cb3 0x4cdd544cf46a3a
 0 0 0x30b 0x22bef2847 0x4cdd544cf4332a
 0x1 0 0x30b 0x471e11a7 0x4cdd544cf45ea1
 0x2 0 0x30b 0xfd645d90 0x4cdd544cf4bd19
 0x3 0 0x30b 0x5472fd9 0x4cdd544cf4be21
 0x4 0 0x30b 0x146e9ef16 0x4cdd544cf49cde
 0x5 0 0x30b 0xa23a9ec 0x4cdd544cf49d99
 0x6 0 0x30b 0x190b1c59c 0x4cdd544cf4c459
 0x7 0 0x30b 0x3556ef7 0x4cdd544cf4c321
 0x8 0 0x30b 0x5e6327e9 0x4cdd544cf4c231
 0x9 0 0x30b 0x213b869 0x4cdd544cf4c592
 0xa 0 0x30b 0x86e47ea7 0x4cdd544cf4c7bb
 0xb 0 0x30b 0x3aeddb10 0x4cdd544cf4c666
 0xc 0 0x30b 0x5289d1bb 0x4cdd544cf6d666
 0xd 0 0x30b 0x38e9b028 0x4cdd544cf6e02d
 0xe 0 0x30b 0x25bb033a5 0x4cdd544cf45d71
 0xf 0 0x30b 0x52b5a7a 0x4cdd544cf46de2
