# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4cdbf78e3cbd55
 0x1 0 0x38f 0x700000000 0x4cdbf78e3cc142
 0x2 0 0x38f 0x700000000 0x4cdbf78e3e2039
 0x3 0 0x38f 0x700000000 0x4cdbf78e3e2a81
 0x4 0 0x38f 0x700000000 0x4cdbf78e3cca52
 0x5 0 0x38f 0x700000000 0x4cdbf78e3cc3bc
 0x6 0 0x38f 0x700000000 0x4cdbf78e3f93ae
 0x7 0 0x38f 0x700000000 0x4cdbf78e3f93c2
 0x8 0 0x38f 0x700000000 0x4cdbf78e3ce5fb
 0x9 0 0x38f 0x700000000 0x4cdbf78e3cc9ac
 0xa 0 0x38f 0x700000000 0x4cdbf78e3f8e14
 0xb 0 0x38f 0x700000000 0x4cdbf78e3f8dfb
 0xc 0 0x38f 0x700000000 0x4cdbf78e3fa50d
 0xd 0 0x38f 0x700000000 0x4cdbf78e3fb37c
 0xe 0 0x38f 0x700000000 0x4cdbf78e3fc3cc
 0xf 0 0x38f 0x700000000 0x4cdbf78e3fd316
