# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0x18b4c8c9 0x4ce00e17b7d936
 0x1 0 0x309 0x1143e22f 0x4ce00e17b7fbb2
 0x2 0 0x309 0x2629497d 0x4ce00e17b87a1c
 0x3 0 0x309 0xb3fcbd 0x4ce00e17b87abe
 0x4 0 0x309 0x45091f8 0x4ce00e17b87ffb
 0x5 0 0x309 0x306b931 0x4ce00e17b88095
 0x6 0 0x309 0x1277defa 0x4ce00e17b87b44
 0x7 0 0x309 0x140dd09 0x4ce00e17b87b81
 0x8 0 0x309 0x136d6633 0x4ce00e17b888ad
 0x9 0 0x309 0x69dcba3 0x4ce00e17b88854
 0xa 0 0x309 0x317f408f 0x4ce00e17b88348
 0xb 0 0x309 0xd68b4be 0x4ce00e17b8831b
 0xc 0 0x309 0x25a9b51 0x4ce00e17b84607
 0xd 0 0x309 0x447d468 0x4ce00e17b85b4b
 0xe 0 0x309 0x33a5949 0x4ce00e17b85b21
 0xf 0 0x309 0x64fc7c 0x4ce00e17b851ea
 0 0 0x30a 0x2e4549b8 0x4ce00e17b7dd73
 0x1 0 0x30a 0x3108e666 0x4ce00e17b7ff81
 0x2 0 0x30a 0x50bf9142 0x4ce00e17b8885c
 0x3 0 0x30a 0x19b8975 0x4ce00e17b8891f
 0x4 0 0x30a 0x515b3b39 0x4ce00e17b88e67
 0x5 0 0x30a 0x4fed365 0x4ce00e17b88f2f
 0x6 0 0x30a 0x917db05e 0x4ce00e17b89783
 0x7 0 0x30a 0x1344048 0x4ce00e17b8994a
 0x8 0 0x30a 0x3ed9be12 0x4ce00e17b897cc
 0x9 0 0x30a 0x15c4d119 0x4ce00e17b89687
 0xa 0 0x30a 0x5d52591e 0x4ce00e17b88ec9
 0xb 0 0x30a 0x11eac6a0 0x4ce00e17b88a9d
 0xc 0 0x30a 0xc278211 0x4ce00e17b84aba
 0xd 0 0x30a 0xa81ff76 0x4ce00e17b8600e
 0xe 0 0x30a 0xc265f74 0x4ce00e17b85e57
 0xf 0 0x30a 0xdcb0ab 0x4ce00e17b855da
 0 0 0x30b 0x7dd0fee4 0x4ce00e17b7e119
 0x1 0 0x30b 0x844571bf 0x4ce00e17b8024c
 0x2 0 0x30b 0xd6805049 0x4ce00e17b89632
 0x3 0 0x30b 0x4921b2b 0x4ce00e17b89e87
 0x4 0 0x30b 0xa1142c96 0x4ce00e17b89ca4
 0x5 0 0x30b 0xd44d303 0x4ce00e17b896f9
 0x6 0 0x30b 0x19a44f688 0x4ce00e17b8a283
 0x7 0 0x30b 0x363cf15 0x4ce00e17b8a462
 0x8 0 0x30b 0xa7630824 0x4ce00e17b8a956
 0x9 0 0x30b 0x3ac927c5 0x4ce00e17b89ddc
 0xa 0 0x30b 0xe3d9a03d 0x4ce00e17b89c73
 0xb 0 0x30b 0x343761ec 0x4ce00e17b89fd8
 0xc 0 0x30b 0x22121efd 0x4ce00e17b85407
 0xd 0 0x30b 0x1d728b85 0x4ce00e17b86316
 0xe 0 0x30b 0x2286e9b8 0x4ce00e17b861e5
 0xf 0 0x30b 0x2471574 0x4ce00e17b85a9f
